mgdp_or
1225.4
1453.9
1521.6
1787.7
1526.1
1769.2
1808.1
1935
1722.8
1952.1
2014.3
2406.3
2184.8
2490.7
2699.4
3177.7
2858.9
3124
3038
3265.6
3076.9
3381.6
3491.4
3899
3675.2
4320.7
4263.7
4500.4
4065.8
4950.1
4937.9
5536.7
5134.7
6164.2
6210.1
6908.9
6283.8
7116.8
6665.5
6905.9
6191.6
6807.3
6531.6
7072.6
6593.5
7370.5
7375.7
7726.8
7057.7
7748.3
7521.2
8221.5
8090.7
8909.2
9033.8
9679.7
9646.8
11147.5
10716.8
11250.5
10631.1
11639.1
11260.7
12193.8
11813.1
13467.2
13236.3
14653.4
14478.7
16711.5
15378.3
17388.2
17722.1
17720.3
17845.1
19242.7
18082.3
18892.8
18759.1
19997.9
19737.2
21096.4
21121.1
22331.5
22624.2
23966.5
23564.4
25987.1
24847.3
26145
24571.2
26303.3
25788.3
27762.9
26654.4
28989.5
28593.3
31078.6
29104.1
33081.5
32454
35268.3
33342.6
36603.4
35693.9
38231.2
36398.2
39544.3
37655.9
41919.9
38941.2
40740.5
35449.1
36629.5
35507
40432.5
38354.2
44992.3
44870.8
50366.9
48072.3
52238.9
52678.2
54476.9
50813.6
54001.3
51957.1
56592.8
53718.9
58786.9
58093.5
62993.5
57206.2
60179.6
60153.7
67800.2
63845.9
68634.7
66459.3
71762.8
66000.6
71144.8
70901.8
77048.7
72178.9
76572.6
76963.5
81790.6
76660.4
82930.6
82343
90734.6
83176.6
89066.8
87348.9
84866.8
75008.6
82033.7
86704.6
92669.3
86176.3
96363
95908.1
103796
96232
101621.3
99317.6
105110.9
97143.4
103150.1
100895.2
106771.3
99702
106106.2
104081.4
110603.4
103850.3
110601.6
106721.6
112680.1
104869
110778.2
109462.2
116024.1
106332.3
113851.2
111336
119774.6
110733.8
116254.1
118620.5
122461.9
112057.4
119782.5
122465.6
129224.7
113265.5
120836.2
124058.6
131452.4
117204.1
112918.2
123191.8
131792.1
