mgdp_sa
1358.9
1440.9
1503.6
1685.2
1672.8
1747.5
1796.7
1821.5
1868.4
1928
2027.5
2271.7
2347.1
2463.4
2735
3007.1
3035.8
3078.4
3076.4
3095.8
3269.9
3328.9
3534.2
3715.9
3933
4224.8
4300.6
4301.7
4387.7
4808.8
4985.4
5308.7
5552.3
5954.7
6279.2
6631.8
6745
6848.8
6746.2
6632.1
6595.5
6564.2
6634.7
6808.6
6970.6
7137.5
7504.3
7454.2
7417.5
7522.6
7655.8
7952.8
8466
8669.9
9191.2
9386.4
10093.8
10838.9
10907.9
10921
11108.8
11294
11482.3
11839.7
12309.9
13079.6
13526.6
14254.1
15011.9
16286.8
15720.3
16937.7
18246.2
17338.3
18184.9
18760.9
18521.4
18557.2
19122.1
19531.3
20122.6
20744.5
21594.8
21824.3
23005.5
23509
24237.8
25390
25250.6
25515.8
25414.6
25685.8
26240.9
26970.5
27682.8
28301
29159.2
30130.1
30318.8
32249.5
33170.2
34205
34680.1
35612.9
36550.3
37152.4
37792.4
38372.4
38710.8
40823
40274.9
39448.7
36553
35736.4
36688.8
39039.8
39785.9
44028
46253.5
48516.7
49942.6
51149.6
54074.1
52300.1
52935.4
52914.6
53260.6
54254.1
56059
57725
59539.5
60269.3
59793.3
59170.1
61648.2
64728.1
66644.6
67708.2
67888.4
68461.7
68985.3
70370
72254.6
73486
75432.2
75902.1
78182.7
77988.6
80381.3
82195.9
83645
86446.3
87193.8
87964.1
88477.8
80823.5
78843.9
81019.1
87998.1
88555.1
90597.3
95119.7
97254.2
99272.1
100746.2
100201.2
100708.1
100626.2
101322.1
101817.6
102420.4
102399.8
103786.3
104865
105692
106149.7
108080.3
109388.1
108295
108090.1
109283.3
109733.3
110938.6
111178.3
111151.8
113134.2
112416
114592.2
116177.3
115901.4
118964.7
117026.9
118176.3
119839.6
122099.5
123414.7
119886.8
121050.8
123208.3
125466.8
124259.1
113194.3
122127.6
125775.2
